,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,002593,日上集团,0.36,,,15.75,,5392.43,,,06-08
1,002581,未名医药,0.64,,1.96,37.79,0.77,5223.69,,,04-26
2,300388,国祯环保,,,,,,4300.87,,,04-21
3,601669,中国电建,,,,,,212610.31,,,04-20
4,300213,佳讯飞鸿,0.52,,3.15,17.89,0.19,3256.77,,,04-15
5,300237,美晨生态,1.51,,3.97,44.14,1.92,6442.96,,,04-15
6,300211,亿通科技,0.61,,3.42,19.58,-0.03,2215.18,,,04-15
7,002576,通达动力,0.46,,2.59,18.8,-0.19,4114.72,,,04-12
8,300240,飞力达,0.62,,2.58,25.91,0.58,4927.53,,,04-08
9,300381,溢多利,0.48,,3.45,14.65,-0.06,1860.94,,,04-08
10,300225,金力泰,1.33,,3.87,38.88,0.82,6660.45,,,03-25
11,300198,纳川股份,0.56,,2.5,24.77,0.39,3876.6,,,03-18
12,300197,铁汉生态,0.97,,4.54,23.9,-0.89,4461.48,,,03-11
13,300282,三盛教育,0.52,,2.44,23.43,0.29,1792.41,,,03-04
14,300189,神农科技,0.37,,2.74,14.62,0.13,4479.18,,,02-25
15,300188,美亚柏科,0.5,,2.24,23.4,-0.53,2006.66,,,02-25
16,603328,依顿电子,0.55,,3.32,18.16,0.06,22040.01,,,02-24
17,002564,天沃科技,0.56,,3.7,16.27,0.39,7991.91,,,02-22
18,002548,金新农,0.63,5.0,2.76,25.51,0.59,4440.01,4.87,,02-17
19,300185,通裕重工,0.52,,4.1,13.59,0.14,14089.21,,,02-17
20,002550,千红制药,0.9,21.62,2.93,,1.07,10806.79,21.85,,02-17
21,300187,永清环保,0.65,,2.26,27.19,0.36,3245.56,,,02-17
22,300226,上海钢联,0.51,,,,,1564.79,,,02-16
23,300175,朗源股份,0.33,26.92,2.27,,-0.09,2617.13,26.34,,02-14
24,300179,四方达,0.45,28.57,2.43,20.21,0.52,2670.79,28.21,,02-14
25,300177,中海达,0.79,14.49,3.48,,-0.26,2979.5,19.19,,02-14
26,300176,派生科技,,,2.03,,0.32,2707.45,1.14,,02-14
27,002558,巨人网络,0.54,,3.0,18.3,0.98,2410.53,,,02-11
28,601116,三江购物,0.24,,1.61,16.31,1.01,8574.26,,,02-11
29,002556,辉隆股份,0.84,,4.14,22.23,0.33,9426.97,,,02-11
30,002545,东方铁塔,1.09,105.66,4.31,,0.09,14164.5,105.97,,02-10
31,300174,元力股份,0.32,88.24,1.69,,0.13,1623.59,100.71,,01-31
32,300173,智慧松德,0.6,93.55,3.61,,0.11,3011.08,94.79,,01-31
33,300172,中电环保,0.45,45.16,2.47,,0.34,3401.74,47.5,,01-31
34,300171,东富龙,1.78,125.32,4.89,41.05,1.46,10701.35,125.04,,01-31
35,300170,汉得信息,0.49,96.0,2.35,,0.05,4226.14,95.47,,01-31
36,002544,杰赛科技,0.44,238.46,4.47,,-0.7,2821.39,251.45,,01-27
37,002543,万和电气,0.91,51.67,3.53,,0.95,13704.16,63.38,,01-27
38,300169,天晟新材,0.49,22.5,3.44,,0.19,3447.18,21.66,,01-24
39,300168,万达信息,0.25,31.58,2.69,,-0.37,2217.91,31.96,,01-24
40,300167,迪威迅,0.75,15.38,4.54,,,2506.85,15.47,,01-24
41,300166,东方国信,0.73,,2.85,,0.11,2228.55,,,01-24
42,002549,凯美特气,0.53,,3.82,20.68,0.55,3178.56,,,01-24
43,300165,天瑞仪器,1.28,19.63,3.91,,0.6,7087.31,18.92,,01-24
44,002571,德力股份,0.6,,3.75,17.42,0.51,3785.96,,,01-21
45,300204,舒泰神,0.76,,2.9,27.46,0.81,3810.45,,,01-20
46,300178,腾邦国际,0.68,,3.43,22.12,0.87,6102.48,,,01-19
47,002541,鸿路钢构,0.91,125.84,3.65,,0.07,9125.51,125.8,,01-17
48,002546,新联电子,0.65,,3.48,20.49,0.12,4075.06,,,01-17
49,601616,广电电气,0.24,,1.48,16.97,-0.17,9844.66,,,01-17
50,002540,亚太科技,0.74,29.82,4.14,,0.2,8869.38,29.76,,01-17
51,002577,雷柏科技,0.87,,,56.12,0.78,8384.82,,,01-13
52,300163,先锋新材,0.33,73.68,2.27,15.69,0.25,1950.09,72.22,,01-12
53,300162,雷曼光电,0.62,113.79,1.91,,0.09,3092.03,128.96,,01-12
54,300161,华中数控,0.4,33.33,3.14,13.37,-0.65,3211.95,34.64,,01-12
