,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,601900,南方传媒,0.51,,,13.78,,28777.64,,,01-20
1,300499,高澜股份,0.36,,,,,1820.94,,,01-20
2,001979,招商蛇口,,,,,,171909.43,,,12-28
3,300490,华自科技,0.39,,,10.02,,2923.35,,,12-16
4,603778,乾景园林,0.4,,,6.35,,2381.49,,,12-16
5,300494,盛天网络,0.93,,,32.05,,8363.98,,,12-16
6,002778,高科石化,0.43,,,8.21,,2841.67,,,12-16
7,002777,久远银海,0.5,,,12.88,,3000.57,,,12-16
8,002787,华源控股,0.52,,,,,5441.16,,,12-16
9,300491,通合科技,0.39,,,14.21,,2309.85,,,12-16
10,002786,银宝山新,0.44,,,7.58,,4224.77,,,12-04
11,002785,万里石,0.07,,,,,1104.5,,,12-04
12,603866,桃李面包,0.48,,,,,19341.52,,,12-04
13,300492,山鼎设计,-0.02,,,,,-131.45,,,12-04
14,300497,富祥药业,0.81,,,,,4355.18,,,12-04
15,300496,中科创达,1.34,,,34.93,,10027.26,,,11-23
16,002779,中坚科技,0.72,,,16.4,,4747.03,,,11-23
17,300493,润欣科技,0.36,,,13.15,,3238.42,,,11-23
18,603696,安记食品,0.46,,,,,4097.98,,,11-23
19,603398,邦宝益智,0.55,,,21.67,,3961.06,,,11-23
20,603223,恒通股份,0.38,,,10.59,,3420.7,,,10-31
21,002746,仙坛股份,0.37,,,,,4387.88,,,10-31
22,002775,文科园林,0.59,,,,,5333.25,,,10-31
23,603885,吉祥航空,0.87,,,24.1,,43693.39,,,10-31
24,002759,天际股份,0.45,,,,,3261.47,,,10-31
25,603618,杭电股份,0.44,,,9.29,,7594.0,,,10-30
26,603022,新通联,0.61,,,15.14,,3631.22,,,10-30
27,603116,红蜻蜓,0.61,,,14.19,,21283.42,,,10-30
28,002763,汇洁股份,0.8,,,,,13000.17,,,10-30
29,603703,盛洋科技,0.53,,,15.67,,3666.53,,,10-30
30,603616,韩建河山,0.61,,,16.32,,6714.12,,,10-30
31,603598,引力传媒,0.43,,,14.81,,4278.53,,,10-30
32,601211,国泰君安,0.64,,,10.79,,393349.94,,,10-30
33,603066,音飞储存,0.43,,,9.23,,3255.1,,,10-30
34,002755,奥赛康,0.2,,,,,1520.59,,,10-30
35,603198,迎驾贡酒,0.48,,,15.06,,34521.02,,,10-30
36,603355,莱克电气,0.71,,,19.73,,25505.25,,,10-30
37,002771,真视通,0.55,,,,,3319.86,,,10-30
38,603023,威帝股份,1.09,,,31.38,,6547.57,,,10-30
39,603158,腾龙股份,0.78,,,21.3,,6241.43,,,10-30
40,603300,华铁应急,0.41,,,10.96,,6240.82,,,10-30
41,002770,科迪乳业,0.37,,,,,7482.91,,,10-30
42,603315,福鞍股份,0.47,,,10.19,,3512.91,,,10-29
43,002758,华通医药,0.68,,,,,2858.81,,,10-29
44,603568,伟明环保,0.48,,,22.53,,19446.62,,,10-29
45,603968,醋化股份,0.57,,,17.31,,8710.33,,,10-29
46,601689,拓普集团,0.61,,,20.32,,31576.12,,,10-29
47,603026,石大胜华,0.49,,,7.69,,7519.04,0.56,,10-29
48,603989,艾华集团,0.66,,,18.55,,13343.11,,,10-29
49,002760,凤形股份,0.39,,,,,2586.33,,,10-29
50,002748,世龙实业,0.77,,,,,6935.68,,,10-29
51,603589,口子窖,0.65,,,16.97,,35325.05,,,10-29
