,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,002733,雄韬股份,,,,,,1566.39,,,01-05
1,601336,新华保险,1.0,,,18.0,16.58,119500.0,,,09-07
2,601633,长城汽车,0.32,,3.98,8.37,0.18,87539.05,,,09-02
3,300362,天翔环境,,,,,,20.54,,,08-03
4,002602,世纪华通,0.31,0.0,3.47,,0.16,4081.18,2.73,,07-27
5,300245,天玑科技,0.23,53.33,2.55,9.92,-0.16,1206.01,43.37,,07-18
6,300244,迪安诊断,0.22,-31.25,4.42,,-0.29,942.81,35.05,,07-18
7,002601,龙蟒佰利,1.37,280.56,7.07,,0.87,9610.59,283.33,,07-14
8,002600,领益智造,0.06,0.0,2.7,,0.01,1494.43,21.56,,07-14
9,300243,瑞丰高材,0.18,-14.29,3.05,,-1.26,712.15,-13.57,,07-11
10,300242,佳云科技,0.04,33.33,1.95,,-0.23,248.17,35.93,,07-11
11,300241,瑞丰光电,0.13,-18.75,2.58,5.03,0.15,1014.12,83.62,,07-11
12,002598,山东章鼓,0.13,45.44,2.0,,0.21,1537.01,45.41,,07-06
13,002597,金禾实业,0.43,34.38,7.76,,-0.88,4329.62,70.64,,07-06
14,002596,海南瑞泽,0.08,-20.0,4.01,,-0.09,849.65,-16.08,,07-06
15,300238,冠昊生物,0.05,25.0,3.21,,-0.26,232.18,34.97,,07-05
16,300240,飞力达,0.16,33.33,3.06,5.43,-0.03,1297.9,34.79,,07-05
17,300239,东宝生物,0.08,31.05,2.23,,0.0,435.19,31.09,,07-05
18,002594,比亚迪,0.12,-84.0,7.95,,1.3,26674.1,-84.35,,06-29
19,300237,美晨生态,0.55,10.0,4.92,,-1.56,2365.61,10.22,,06-28
20,300236,上海新阳,0.11,57.14,1.71,,-0.01,679.42,42.98,,06-28
21,300235,方直科技,0.34,126.67,2.81,,0.17,1111.57,123.94,,06-28
22,002593,日上集团,0.15,114.29,2.86,,-0.3,2321.37,81.88,,06-27
23,002595,豪迈科技,0.25,23.01,4.29,,0.16,3777.66,23.05,,06-27
24,300233,金城医药,0.29,16.0,4.46,,0.11,2570.41,15.73,,06-21
25,300232,洲明科技,0.15,0.0,3.08,,-0.03,873.92,-1.49,,06-21
26,300234,开尔新材,0.19,46.15,2.18,,0.3,1162.54,44.17,,06-21
27,002591,恒大高新,0.11,10.0,4.79,,-0.56,681.46,11.8,,06-20
28,300231,银信科技,0.24,180.54,3.07,,-0.78,718.05,180.7,,06-14
29,300230,永利股份,0.12,20.0,2.48,4.94,0.13,801.52,19.36,,06-14
30,300229,拓尔思,0.03,3.45,2.84,,-0.17,285.9,10.5,,06-14
31,002590,万安科技,0.33,13.79,4.34,,0.11,2270.74,11.89,,06-09
32,002589,瑞康医药,0.21,31.25,4.44,4.94,-4.06,1500.61,34.2,,06-09
33,002588,史丹利,0.38,245.45,7.62,,0.39,3680.36,242.95,,06-09
34,002587,奥拓电子,0.03,716.67,2.46,,-0.37,216.24,709.98,,06-09
35,300227,光韵达,0.09,66.98,1.93,4.7,0.03,442.29,66.99,,06-07
