,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603799,华友钴业,0.2,,,,,8461.5,,,07-20
1,002655,共达电声,0.24,,2.48,10.33,-0.06,2176.44,,,01-31
2,300290,荣科科技,0.33,,2.29,15.54,-0.46,1681.79,,,01-30
3,300289,利德曼,0.29,,1.58,19.75,0.04,3342.48,,,01-30
4,601929,吉视传媒,0.11,,1.38,7.97,0.23,11844.72,,,01-30
5,601515,东风股份,0.5,,2.03,27.98,0.27,24832.46,,,01-20
6,601231,环旭电子,0.21,,1.99,9.99,0.29,18758.7,,,01-19
7,002654,万润科技,0.42,,3.36,13.24,0.62,2755.05,,,01-18
8,601163,三角轮胎,,,,,,41182.27,,,01-12
9,603128,华贸物流,0.21,,,12.0,-0.43,6202.39,,,01-12
10,002671,龙泉股份,0.35,,2.3,15.04,0.14,2504.37,,,01-12
11,603002,宏昌电子,0.08,,,5.14,0.06,2415.95,,,01-12
12,300291,华录百纳,0.67,,3.54,20.93,-0.16,3022.0,,,01-11
13,603000,人民网,0.16,,2.65,5.9,0.18,3224.94,,,01-09
14,300312,邦讯技术,0.31,,,11.5,-0.61,2471.83,,,01-06
15,300329,海伦钢琴,0.32,,2.85,12.01,-0.11,1621.77,,,01-06
16,300288,朗玛信息,0.55,,2.54,24.12,0.38,2191.18,,,01-06
17,300287,飞利信,0.16,,2.1,8.09,-1.12,1025.23,,,01-06
18,601038,一拖股份,0.32,,,8.45,-0.17,27123.63,,,01-06
19,300317,珈伟新能,0.55,,2.15,29.36,0.81,5780.49,,,01-06
20,300315,掌趣科技,0.18,,1.55,12.35,0.13,2213.04,,,01-06
21,603861,白云电器,0.13,,3.85,3.25,0.09,2657.35,,,01-05
22,300330,华虹计通,0.35,,2.0,17.39,0.92,2081.72,,,01-05
23,300308,中际旭创,0.47,,3.59,14.11,0.44,2363.08,,,01-05
24,002677,浙江美大,0.25,,,13.95,-0.25,3752.41,,,01-05
25,002676,顺威股份,0.63,,3.11,20.82,0.53,7600.28,,,01-05
26,300327,中颖电子,0.33,,2.07,17.28,0.2,3162.99,,,12-31
