,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
0,002670,国盛金控,900.9551,0.051,,0.0782,10.4694
1,000627,天茂集团,26.0618,0.084,6.3019,0.0984,56.5623
2,600247,ST成城,16.8634,0.5541,61.6831,0.5668,70.6041
3,000897,*ST津滨,5.5585,0.1244,,0.1504,16.8737
4,300189,神农科技,2.8368,0.3256,28.6386,5.4863,603.003
5,600864,哈投股份,2.5671,0.0795,,0.1181,18.5927
6,000616,海航投资,2.5231,0.10300000000000001,1.9675,0.375,118.9407
7,300023,宝德股份,2.3135,0.1975,,0.2215,22.5404
8,300059,东方财富,2.0368,0.067,2.7836,0.1106,13.8283
9,600053,九鼎投资,1.8422,0.2533,4.5632,0.5221,63.7523
10,000046,泛海控股,1.8386,0.0434,8.9116,0.0501,8.2558
11,600503,华丽家族,1.7857,0.0951,,0.2032,27.8863
12,600790,轻纺城,1.6647,0.1579,3.0733,0.3398,36.1505
13,600318,新力金融,1.525,0.1441,5.3004,0.2418,36.8006
14,000828,东莞控股,1.3729,0.2025,2.1189,0.4972,85.0125
15,600322,天房发展,1.1765,0.1264,27.7824,0.1516,19.2895
16,600807,ST天业,1.1601,0.2272,47.5991,0.27399999999999997,34.4096
17,600846,同济科技,1.1405,0.3037,9.9147,0.4019,45.9206
18,300106,西部牧业,1.0947,0.6523,60.3721,1.6945,190.5635
19,300090,盛运环保,1.0611,0.0562,,0.0574,8.0846
20,000863,三湘印象,1.0513,0.1316,,0.2299,44.1542
21,002575,群兴玩具,0.9919,0.0208,2.7294,2.1289,371.0998
22,000514,渝开发,0.9804,0.0806,12.1704,0.1704,19.6787
23,002323,ST百特,0.9791,0.1366,,0.1762,18.3319
24,601368,绿城水务,0.8667,0.1246,4.1481,0.1913,71.9624
25,300777,中简科技,0.8516,0.1925,1.5025,0.5881,111.1365
26,000036,华联控股,0.8421,0.2578,2.7232,0.5149,66.2635
27,300215,电科院,0.8374,0.1608,4.6197,0.3614,73.3224
28,600777,新潮能源,0.8364,0.1616,6.656000000000001,0.4028,150.1656
29,600368,五洲交通,0.8251,0.1416,3.7031,0.2123,61.9978
30,600533,栖霞建设,0.8235,0.1177,8.7723,0.1519,29.4427
31,603797,联泰环保,0.8207,0.0545,2.807,0.0782,36.425
32,000576,广东甘化,0.8023,0.1971,3.0516,0.6321,122.7275
33,600020,中原高速,0.7979999999999999,0.0919,5.7363,0.1184,40.188
34,601698,中国卫通,0.7849,0.1233,2.8363,0.5859,85.6528
35,600077,宋都股份,0.7792,0.1488,8.9507,0.1844,21.5835
36,600900,长江电力,0.7759,0.1345,1.7549,0.26,69.9254
37,000890,法尔胜,0.7695,0.1739,,0.1904,20.4964
38,601619,嘉泽新能,0.7684,0.0935,3.0503,0.1338,76.3129
39,002039,黔源电力,0.7611,0.1088,3.3016,0.1522,56.2494
40,002417,深南股份,0.752,0.315,,1.4723,147.7342
41,600732,爱旭股份,0.7477,0.1991,6.0662,1.168,116.8022
42,002034,旺能环境,0.7404,0.0997,1.9863,0.2427,85.7234
43,002167,东方锆业,0.7357,0.1518,34.4923,0.2582,31.8092
44,600033,福建高速,0.7181,0.1105,1.9955,0.3067,119.1061
45,600025,华能水电,0.7039,0.0649,1.8052,0.0891,25.2481
46,601188,龙江交通,0.7028,0.0958,1.5369,0.599,60.0997
47,600236,桂冠电力,0.6845,0.1417,2.4019999999999997,0.2219,67.3258
48,601518,吉林高速,0.6806,0.0869,2.4095,0.2036,84.6417
49,002621,美吉姆,0.6768,0.043,4.6008,0.0731,7.3472
50,600325,华发股份,0.6751,0.0878,6.6612,0.1066,16.0596
51,000972,ST中基,0.6644,0.3394,,0.5312,54.0908
52,000558,莱茵体育,0.6608,0.1686,,0.3309,55.7014
53,000736,中交地产,0.6478,0.1441,5.0313,0.161,22.1749
54,600163,中闽能源,0.6465,0.0852,2.3417,0.1673,48.2357
55,000006,深振业A,0.6396,0.1187,1.7405,0.2247,29.5525
56,000666,经纬纺机,0.6377,0.1229,2.2299,0.2633,32.3829
57,600707,彩虹股份,0.636,0.0306,25.4571,0.0628,16.1752
58,600139,西部资源,0.6356,0.0332,,0.0452,18.0502
59,300708,聚灿光电,0.6347,0.1293,17.4082,0.1763,21.046
60,002818,富森美,0.6344,0.156,1.2264,0.7059,72.1475
61,601016,节能风电,0.6336,0.0701,2.5213,0.1092,59.4944
62,000862,银星能源,0.6302,0.0772,14.3659,0.1058,38.4603
63,002208,合肥城建,0.6244,0.0961,4.1852,0.1138,12.4809
64,002618,丹邦科技,0.6213,0.0882,8.3999,0.3035,48.5129
65,300077,国民技术,0.6191,0.1159,,0.20600000000000002,21.4015
66,000885,城发环境,0.6114,0.1526,2.1043,0.2259,56.1235
67,600012,皖通高速,0.6093,0.1223,1.6483,0.4305,126.2715
68,300040,九洲电气,0.6037,0.1658,13.6171,0.3419,59.4607
69,601985,中国核电,0.5955,0.0724,2.7421,0.0976,59.5985
70,000429,粤高速A,0.5953,0.1176,1.0066,0.3066,63.3829
71,000791,甘肃电投,0.5945,0.0716,2.6983,0.1059,79.6636
72,300741,华宝股份,0.5844,0.1317,1.0619,2.4112,242.2592
73,603693,江苏新能,0.5823,0.1046,2.3749,0.2616,97.1914
74,002305,南国置业,0.5815,0.0978,20.89,0.1244,20.9387
75,000506,中润资源,0.5804,0.1138,9.6515,0.2032,22.1134
76,002466,天齐锂业,0.5797,0.0811,1.2908,0.1107,82.5113
77,600377,宁沪高速,0.5733,0.1187,1.2770000000000001,0.3039,83.4959
78,600350,山东高速,0.5697,0.0567,1.0728,0.099,34.8714
79,300346,南大光电,0.569,0.0881,2.3401,0.503,178.18200000000002
80,688188,柏楚电子,0.5683,0.3808,1.0008,1.8361,204.8366
81,600519,贵州茅台,0.562,0.2589,1.094,0.9752,97.5189
82,003816,中国广核,0.5589,0.0771,2.0765,0.1112,46.8611
83,002679,福建金森,0.5567,0.055,1.9768,0.0994,23.2704
84,600548,深高速,0.5549,0.0784,0.9004,0.1494,53.3031
85,688008,澜起科技,0.5514,0.2318,1.3152,1.7156,226.9538
86,300312,邦讯技术,0.5472,0.1353,,0.1998,24.8352
87,603444,吉比特,0.5467,0.2257,0.985,1.0313,114.305
88,001965,招商公路,0.5449,0.0438,0.8427,0.1074,53.6248
89,000061,农产品,0.5419,0.0657,12.4461,0.1005,16.7776
90,688088,虹软科技,0.5418,0.2038,1.4155,1.4447,144.4663
91,000631,顺发恒业,0.5364,0.1153,1.3185,0.2368,42.9494
92,002978,安宁股份,0.5329999999999999,0.2482,1.3355,0.8199,102.4787
93,603005,晶方科技,0.516,0.1286,4.1077,0.7513,151.361
94,600565,迪马股份,0.5156,0.11599999999999999,6.4789,0.1442,16.8188
95,600515,海航基础,0.5151,0.0639,3.2618,0.105,15.0227
96,000720,新能泰山,0.515,0.2561,1.2379,0.4518,50.9396
97,300144,宋城演艺,0.513,0.1523,1.2894,1.4594,147.4183
98,000415,渤海租赁,0.4949,0.0715,7.6699,0.0886,37.1892
99,600225,天津松江,0.4942,0.1133,,0.1272,15.8928
100,002387,维信诺,0.4927,0.0238,28.7136,0.0494,12.054
101,600516,方大炭素,0.4905,0.3551,0.9542,2.2165,256.4551
102,000029,深深房A,0.4885,0.2277,2.1253,0.7252,72.846
103,000488,晨鸣纸业,0.4883,0.1339,5.4975,0.1775,22.9582
104,688198,佰仁医疗,0.4873,0.2567,1.0872,3.8486,448.1014
105,000886,海南高速,0.4865,0.0684,1.3528,0.4455,50.858999999999995
106,300623,捷捷微电,0.4863,0.1675,1.5778,1.2429999999999999,137.6064
107,000961,中南建设,0.4845,0.0824,8.4027,0.0899,11.0963
108,600674,川投能源,0.4832,0.013000000000000001,0.1157,0.0617,7.8606
109,600897,厦门空港,0.4825,0.1853,1.6278,1.0418,107.3997
110,000573,粤宏远A,0.4813,0.1265,11.0453,0.249,38.2199
111,603568,伟明环保,0.4808,0.1296,1.008,0.2804,112.7521
112,000755,山西路桥,0.4803,0.0841,16.8348,0.0949,29.3116
113,600009,上海机场,0.4797,0.1444,1.0082,1.9473,195.3678
114,600290,ST华仪,0.4756,0.1031,,0.2405,25.0337
115,300211,亿通科技,0.4745,0.1127,12.1928,1.2698,138.6293
116,600094,大名城,0.473,0.1323,8.3007,0.183,26.0097
117,000426,兴业矿业,0.4705,0.1285,,0.3003,58.8513
118,600886,国投电力,0.4686,0.0871,2.2943,0.1277,54.6476
119,688200,华峰测控,0.4654,0.3558,1.1218,2.0184,202.1179
120,688016,心脉医疗,0.4623,0.3975,1.1788,2.029,272.6084
121,603136,天目湖,0.4605,0.2,1.9093,0.9882,139.5874
122,601018,宁波港,0.4598,0.1366,3.1373,0.3183,41.6483
123,000598,兴蓉环境,0.4594,0.0913,1.8944,0.1956,32.6678
124,601158,重庆水务,0.4576,0.1185,1.7004,0.4079,73.3404
125,688020,方邦股份,0.4565,0.2771,1.0197,5.6117,561.1679
