,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
0,000617,中油资本,135.9973,0.0591,3.7849,0.0697,7.2854
1,002387,维信诺,11.3859,0.0393,23.5642,0.0429,4.4455
2,000809,铁岭新城,8.502,0.114,6.7039,0.2385,51.78
3,600705,中航资本,4.3691,0.1064,7.13,0.1208,15.557
4,600767,ST运盛,2.129,0.4605,6.9858,1.2489,139.9716
5,600643,爱建集团,1.7803,0.0713,1.4394,0.1238,19.0978
6,600247,ST成城,1.6735,0.3786,,0.3841,47.2422
7,600106,重庆路桥,1.3991,0.0496,1.1872,0.1065,98.1003
8,000585,ST东电,1.3934,0.1501,,0.0918,11.6491
9,002248,华东数控,1.0519,0.0756,,0.1309,13.9612
10,600657,信达地产,0.9472,0.2003,13.5303,0.2329,44.5034
11,600173,卧龙地产,0.9317,0.252,4.0831,0.3903,46.8182
12,002417,深南股份,0.8995,0.2419,12.5486,2.315,231.5029
13,002575,群兴玩具,0.8704,0.052000000000000005,,4.3421,676.8718
14,000421,南京公用,0.8655,0.2861,12.5316,0.4166,45.4423
15,300189,神农科技,0.8655,0.1568,311.2256,0.9059,109.0304
16,000627,天茂集团,0.8305,0.0031,0.1611,0.0038,4.2023
17,300777,中简科技,0.8226,0.1933,1.2597,0.6713,153.7964
18,000014,沙河股份,0.8170000000000001,0.2743,38.1521,0.5758,65.6958
19,300191,潜能恒信,0.8132,0.0526,,0.8505,101.1614
20,002289,*ST宇顺,0.7938,0.4336,,1.2107,170.5407
21,600900,长江电力,0.7915,0.1326,1.7819999999999998,0.2422,66.4844
22,002818,富森美,0.7786,0.1843,1.5047,0.9132,93.6937
23,600368,五洲交通,0.7666,0.1285,3.8576,0.1846,80.2367
24,600052,浙江广厦,0.7597,0.1183,3.3096,0.2105,25.9337
25,601866,中远海发,0.7484,0.0858,7.7848,0.0977,22.6548
26,000010,*ST美丽,0.7444,0.1817,,0.293,30.8726
27,601698,中国卫通,0.7247,0.1134,2.6312,0.4655,74.9022
28,603797,联泰环保,0.718,0.0469,2.0519,0.0733,20.2256
29,600033,福建高速,0.7109,0.0997,2.0374,0.2482,48.3558
30,000429,粤高速A,0.7106,0.1328,1.2835,0.3105,106.4299
31,601518,吉林高速,0.7028,0.1085,2.5603,0.2218,102.8644
32,002951,金时科技,0.7024,0.4074,2.1185,2.7393,273.9256
33,600318,新力金融,0.6948,0.0693,,0.1091,18.1223
34,600556,ST慧球,0.6918,0.3621,13.913,0.9549,102.9034
35,300696,爱乐达,0.6902,0.1225,1.2745,1.3921,370.7514
36,600675,中华企业,0.6879,0.1891,10.1744,0.2315,33.4308
37,600236,桂冠电力,0.6775,0.14400000000000002,2.1193,0.243,103.6158
38,002618,丹邦科技,0.6704,0.0821,8.38,0.2368,34.6047
39,600202,哈空调,0.6696,0.1109,,0.1734,17.6002
40,600025,华能水电,0.6674,0.051,3.6165,0.0675,21.6907
41,600736,苏州高新,0.6641,0.1572,4.2108,0.2454,32.523
42,000835,长城动漫,0.6629,0.1252,1.5109,0.1822,36.3065
43,600012,皖通高速,0.6579999999999999,0.1328,1.7343,0.4541,155.0323
44,603817,海峡环保,0.6576,0.1142,2.3074,0.4137,94.3701
45,000638,万方发展,0.6571,0.0916,4.2589999999999995,0.14400000000000002,17.7768
46,300741,华宝股份,0.6562,0.2318,1.2362,2.8646,289.9038
47,002039,黔源电力,0.6545,0.0924,2.9139,0.1247,69.8945
48,603568,伟明环保,0.6455,0.16899999999999998,1.311,0.4104,143.97899999999998
49,002447,晨鑫科技,0.645,0.092,0.7061,0.3773,49.023
50,601016,节能风电,0.643,0.0603,2.6069,0.0958,33.0528
51,600724,宁波富达,0.6399,0.1857,,0.2248,34.5628
52,000886,海南高速,0.637,0.11699999999999999,3.9395,0.7281,81.7078
53,002930,宏川智慧,0.6316,0.12300000000000001,2.4854,0.3386,181.6367
54,300215,电科院,0.6271,0.1063,3.1883,0.2243,29.429000000000002
55,000975,银泰黄金,0.6208,0.1701,2.1242,2.5286,728.3194
56,600674,川投能源,0.617,0.017,0.1495,0.0806,14.2724
57,300179,四方达,0.6146,0.1971,3.1473,1.0994,132.4241
58,688188,柏楚电子,0.6138,0.4757,0.9851,1.4092,149.0656
59,000791,甘肃电投,0.6136,0.0614,4.6286,0.0884,63.4705
60,002464,众应互联,0.6109,0.1029,1.6048,0.1896,28.2574
61,600163,中闽能源,0.6058,0.0828,1.7921,0.1622,50.0704
62,603698,航天工程,0.6002,0.1906,3.7917,0.5458,57.8435
63,601828,美凯龙,0.5948,0.0672,1.5237,0.1228,28.6941
64,601985,中国核电,0.5926,0.0657,2.4771,0.0883,51.6118
65,600695,绿庭投资,0.5907,0.024,0.6287,0.055,11.1738
66,601512,中新集团,0.5892,0.1075,1.8675,0.1924,22.7374
67,003816,中国广核,0.5872,0.0749,2.094,0.1044,44.2102
68,300300,汉鼎宇佑,0.5862,0.0699,2.7966,0.1904,20.275
69,000415,渤海租赁,0.585,0.07,6.6611,0.0793,31.6794
70,300144,宋城演艺,0.5834,0.2015,1.6497,1.3815,140.1227
71,000514,渝开发,0.579,0.0956,6.1194,0.2114,43.9407
72,600634,*ST富控,0.5779,0.0823,2.2494,0.1273,30.0706
73,601908,京运通,0.5734,0.0817,2.9739,0.1601,38.6727
74,600886,国投电力,0.5733,0.0871,2.7656,0.1229,53.2685
75,600766,园城黄金,0.5728,0.0393,2.4112,0.0598,5.9842
76,600325,华发股份,0.5673,0.0809,6.3563,0.0976,18.5193
77,002466,天齐锂业,0.5657,0.1735,1.1849,0.4295,122.3297
78,603444,吉比特,0.5618,0.2573,1.1017,1.1769,136.6841
79,002492,恒基达鑫,0.5615,0.0808,2.1183,0.3618,52.2749
80,001965,招商公路,0.5579,0.0457,0.7413,0.1584,31.9496
81,600377,宁沪高速,0.5533,0.12300000000000001,1.4199,0.3145,59.9764
82,000426,兴业矿业,0.5527,0.1251,2.108,0.295,62.9451
83,600548,深高速,0.5501,0.071,1.7209999999999999,0.1226,39.0778
84,600615,丰华股份,0.5486,0.0797,0.4876,0.8861,123.8338
85,002127,南极电商,0.5455,0.1408,1.0041,0.698,91.1854
86,601558,ST锐电,0.5436,0.0114,0.6662,0.0141,1.8698
87,002305,南国置业,0.5212,0.0716,21.8998,0.0913,14.0399
88,002901,大博医疗,0.5197,0.2224,1.0270000000000001,2.0607,262.0605
89,603693,江苏新能,0.5194,0.1069,2.0502,0.2293,110.3035
90,002320,海峡股份,0.5174,0.1296,2.2216,1.5628,214.2726
91,002558,巨人网络,0.5139,0.1163,1.0898,0.4009,48.0898
92,600599,熊猫金控,0.5122,0.1384,7.5729999999999995,0.3334,33.3358
93,600009,上海机场,0.5103,0.1493,1.0666,1.9907,199.8993
94,300143,盈康生命,0.5067,0.0639,1.2045,0.9348,105.2969
95,600215,长春经开,0.5038,0.0661,23.3402,0.2807,28.3079
96,601816,京沪高铁,0.5038,0.0838,1.6446,0.4465,168.0825
97,688198,佰仁医疗,0.5023,0.3163,1.115,3.5725,409.61800000000005
98,600020,中原高速,0.4988,0.057999999999999996,2.4464,0.079,24.2223
99,603058,永吉股份,0.4945,0.1737,1.7635,1.7893,186.2574
100,601872,招商轮船,0.4845,0.0781,3.1998,0.1594,51.7729
101,600150,中国船舶,0.4838,0.1543,,0.2163,42.7571
102,002175,*ST东网,0.4828,0.0931,,0.1993,22.0266
103,000862,银星能源,0.4806,0.049,,0.0697,35.1044
104,000056,皇庭国际,0.4786,0.0237,1.6,0.0401,16.2513
105,000603,盛达资源,0.4782,0.1654,1.3014,0.9396,96.2289
106,601368,绿城水务,0.4779,0.0731,1.7033,0.1174,37.0552
107,001872,招商港口,0.4732,0.1457,1.6282,0.8252,131.2869
108,002619,艾格拉斯,0.4727,0.0576,0.9649,0.3556,35.9559
109,600167,联美控股,0.4725,0.1008,1.1892,0.2823,70.6592
110,600350,山东高速,0.4707,0.0683,1.2075,0.1461,55.4217
111,600201,生物股份,0.4689,0.1568,1.0268,0.7394,83.986
112,600113,浙江东日,0.4675,0.1632,1.7082,0.4878,96.9453
113,300595,欧普康视,0.4644,0.1569,0.9739,1.3128,137.6649
114,603136,天目湖,0.4629,0.1929,2.1847,0.7381,137.6501
115,300775,三角防务,0.4623,0.1109,1.4138,0.5043,65.173
116,688111,金山办公,0.4604,0.2711,1.6179,1.4438,149.2164
117,603590,康辰药业,0.45799999999999996,0.1616,0.5649,0.8481,133.9757
118,000557,西部创业,0.4578,0.0599,3.4711,0.29600000000000004,34.3917
119,300446,乐凯新材,0.455,0.1918,1.1257,2.4599,398.3224
120,300559,佳发教育,0.4549,0.1154,1.1428,1.1386,115.8074
121,300572,安车检测,0.4491,0.1683,2.3393,0.3429,34.3184
122,600269,赣粤高速,0.4468,0.0567,2.0947,0.1071,41.4511
123,601158,重庆水务,0.4466,0.0993,0.9658,0.3386,51.3921
124,600317,营口港,0.4462,0.1044,3.0273,0.3404,71.0983
125,600149,ST坊展,0.446,0.0686,1.1203,0.1788,17.8815
126,300770,新媒股份,0.4451,0.2471,1.8011,0.8158,87.6004
127,000598,兴蓉环境,0.4441,0.0884,1.8090000000000002,0.1934,37.6614
128,600338,西藏珠峰,0.4408,0.336,0.9765,0.71,87.0915
129,300699,光威复材,0.4405,0.1317,1.7631,0.7166,145.7836
130,688089,嘉必优,0.4404,0.1988,1.5348,2.3982,287.6086
131,600176,中国巨石,0.4395,0.1534,1.7625,0.3107,48.6289
132,002679,福建金森,0.4391,0.0457,1.379,0.0854,19.7411
133,600777,新潮能源,0.43799999999999994,0.0335,1.8193,0.1051,11.3651
134,002033,丽江股份,0.4369,0.1116,1.3843,1.2437,127.415
135,002677,浙江美大,0.4366,0.2674,1.4681,1.22,123.43799999999999
136,600252,中恒集团,0.4362,0.1301,1.4766,0.7051,83.52799999999999
137,600007,中国国贸,0.4358,0.1033,1.8966,0.23199999999999998,49.0766
138,603589,口子窖,0.4355,0.2044,1.4087,0.6053,62.0922
139,001914,招商积余,0.4348,0.1341,,0.1765,26.6577
140,600463,空港股份,0.4337,0.2395,,0.4844,50.5171
141,300263,隆华科技,0.4328,0.1265,8.2341,0.4345,47.4403
142,600854,春兰股份,0.4315,0.1412,,0.5422,64.8258
143,000301,东方盛虹,0.4303,0.1084,2.0986,0.5796,112.1592
144,300139,晓程科技,0.4267,0.0392,,0.1521,41.9409
145,000668,荣丰控股,0.4264,0.0509,8.2874,0.0736,14.5447
146,600804,鹏博士,0.4264,0.1498,4.5429,0.2179,30.7488
147,603429,集友股份,0.4255,0.1317,1.0038,0.4448,47.2569
148,603383,顶点软件,0.4252,0.0895,1.0356,0.47600000000000003,47.5972
149,601515,东风股份,0.4252,0.2095,1.7829,0.7253,87.5431
150,600798,宁波海运,0.4252,0.1081,3.2362,0.2369,85.0186
151,600874,创业环保,0.4245,0.0732,1.7567,0.1296,28.7399
152,300529,健帆生物,0.4232,0.1786,1.0691,0.9781,112.6934
153,002501,*ST利源,0.4227,0.0842,2.4492,0.1772,24.8157
154,002912,中新赛克,0.4226,0.1284,1.5896,0.4211,43.0272
155,600971,恒源煤电,0.4215,0.1934,2.4813,0.3824,53.6436
156,688016,心脉医疗,0.42,0.3093,1.0942,1.9135,272.5151
157,688363,华熙生物,0.4198,0.1824,1.5451,1.3997,188.88400000000001
158,000780,平庄能源,0.4196,0.1998,2.4354,0.9129999999999999,98.5237
159,000722,湖南发展,0.4155,0.0324,1.3042,0.4724,130.921
160,688310,迈得医疗,0.4154,0.2542,1.2897,1.3182,155.9516
161,600516,方大炭素,0.4142,0.2479,0.8708,0.9201,101.6735
162,300357,我武生物,0.4127,0.1876,0.8551,3.3819999999999997,377.0945
163,300033,同花顺,0.4109,0.1376,0.7983,0.5559,55.9027
164,601326,秦港股份,0.4107,0.1121,3.205,0.2578,70.7785
165,000688,国城矿业,0.4101,0.214,1.2392,2.7477,336.8924
166,600622,光大嘉宝,0.4059,0.09300000000000001,1.8447,0.1694,21.0061
167,603599,广信股份,0.4051,0.1731,2.8186,0.6969,75.3536
168,002690,美亚光电,0.4038,0.1611,1.2159,0.8087,90.6922
169,603199,九华旅游,0.4034,0.1508,2.1721,1.0602,119.3499
