,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,000520,长航凤凰,3471.6,438.68,12.5729,4307.337,4.2559,981.875,0.9701
1,002506,协鑫集成,831.66,99.81,12.0278,2694.3162,1.0676,2699.2785,1.0696
2,688357,建龙微纳,535.03,6.84,35.1227,8.6089,0.27,125.7094,3.9432
3,603129,春风动力,208.61,6.78,25.9853,90.899,0.9089,1338.7519,13.3875
4,300681,英搏尔,116.69,15.17,31.7359,28.6758,0.5057,188.9476,3.3324
5,603283,赛腾股份,85.49,34.9,56.1104,132.87,1.1072,380.6681,3.1722
6,300785,值得买,77.03,32.66,89.3051,16.3396,,50.0237,
7,603587,地素时尚,75.64,26.07,73.5522,462.4823,1.3602,1773.9836,5.2175
8,603258,电魂网络,75.01,57.69,96.3813,273.2544,1.518,473.5908,2.6310000000000002
9,300789,唐源电气,73.2,19.24,55.7976,12.0299,,62.5013,
10,600385,*ST金泰,67.92,1.78,3.138,36.2895,0.245,2028.5981,13.6968
11,603629,利通电子,67.8,4.8,21.1723,38.2205,,796.1371,
12,300590,移为通信,64.21,38.57,61.6256,76.6949,1.2782,198.8319,3.3138
13,603980,吉华集团,64.13,28.44,48.7331,838.9753,2.0974,2949.3762,7.3734
14,002942,新农股份,62.9,27.31,27.0649,147.1232,2.452,538.5846,8.9764
15,300656,民德电子,62.73,31.61,53.7149,27.7943,0.6176,87.9116,1.9535
16,603528,多伦科技,61.88,39.62,64.1825,262.5053,1.6935,662.5317,4.2743
17,603605,珀莱雅,60.42,9.09,63.2577,158.2162,1.0547,1740.1018,11.6006
18,300628,亿联网络,60.1,30.83,55.2591,150.57,2.6887,488.3611,8.7207
19,603444,吉比特,57.35,59.98,96.8563,193.5324,3.6262,322.6452,6.0453
20,300583,赛托生物,57.0,31.81,46.4612,165.7544,2.0719,521.0114,6.5126
21,600816,安信信托,56.71,56.56,76.2482,1023.5279,2.2539,1809.3798,3.9844
22,300467,迅游科技,56.21,33.79,73.1613,60.1752,2.0058,178.0631,5.9354
23,603080,新疆火炬,53.89,31.69,43.5211,89.0746,0.9577,281.0412,3.0219
24,300436,广生堂,53.39,32.91,85.6979,83.7678,1.4958,254.4678,4.544
25,603233,大参林,53.08,5.84,40.2848,265.5016,0.7375,4545.0109999999995,12.625
26,300653,正海生物,52.9,31.96,93.8999,33.6605,0.561,105.3047,1.755
27,603023,威帝股份,52.68,41.7,56.3536,84.5033,1.4083,202.622,3.377
28,300740,御家汇,52.62,7.51,59.9028,32.7163,,435.1444,
29,603380,易德龙,52.14,13.07,27.8826,68.5733,0.5714,524.3077,4.3692
30,603377,东方时尚,51.97,25.39,59.211999999999996,326.2828,0.8818,1284.6999,3.4721
31,300615,欣天科技,51.92,31.65,52.3571,84.3062,1.4051,266.3493,4.4391
32,603709,中源家居,51.87,8.12,26.8526,25.2678,0.4211,310.8478,5.1807
33,300792,壹网壹创,51.37,0.63,30.0195,0.1532,0.0041,23.9766,0.6471
34,002901,大博医疗,51.35,46.6,80.1161,139.2896,0.3869,298.8915,0.8302
35,300756,中山金马,51.18,19.3,52.5017,67.1274,,347.73800000000006,
36,300731,科创新源,51.16,35.27,53.8301,56.0692,0.8597,158.9449,2.4371
37,002925,盈趣科技,50.97,18.4,31.569000000000003,117.9739,0.3103,640.9485,1.6859
38,603156,养元饮品,50.32,22.15,39.0404,1830.5364,3.698,8261.7538,16.6904
39,300558,贝达药业,50.3,38.22,96.5344,269.2861,0.748,704.4353,1.9567
40,603666,亿嘉和,49.4,8.81,28.1211,9.6748,,109.7509,
41,002949,华阳国际,49.27,12.66,36.231,56.4204,0.446,445.5916,3.5224
42,300745,欣锐科技,48.93,11.62,37.8527,12.1884,,104.8306,
43,300803,指南针,48.81,14.84,94.8689,29.3215,0.4009,197.512,2.7008
44,688003,天准科技,48.41,29.22,54.8372,51.7594,0.7902,177.1227,2.7041
45,002928,华夏航空,48.1,9.6,24.6243,123.6546,,1287.1248,
46,300668,杰恩设计,47.85,20.06,51.4791,25.5062,0.8076,127.1409,4.0259
47,603680,今创集团,47.24,25.64,37.8043,518.0825,1.3705,2020.0558,5.343999999999999
48,603700,宁水集团,46.88,10.69,24.8828,85.0517,1.8134,795.6131,16.964000000000002
49,002852,道道全,46.77,7.12,13.3586,144.5411,1.9272,2028.4034,27.0453
50,603387,基蛋生物,46.37,35.72,83.8265,75.1359,0.7589,210.2934,2.1241
51,002174,游族网络,45.83,49.14,69.627,414.5934,1.5037,843.5357,3.0595
52,300781,因赛集团,45.78,13.45,45.3222,29.0799,,216.168,
53,002957,科瑞技术,45.31,22.97,49.2356,319.6959,,1391.7726,
54,603421,鼎信通讯,45.12,38.58,60.6878,382.9146,0.9818,992.3821,2.5445
55,603868,飞科电器,45.08,15.44,35.0942,370.7233,0.9457,2400.8695,6.1246
56,603983,丸美股份,44.89,25.23,74.8809,271.3742,,1075.5127,
57,600771,广誉远,44.73,10.84,76.9059,38.4129,0.1575,354.1545,1.4525
58,603516,淳中科技,44.61,29.79,58.903,44.5606,1.3369,149.5715,4.4875
59,603303,得邦照明,44.38,10.85,22.4525,303.1789,1.6843,2792.2308,15.5123
60,300791,仙乐健康,44.24,7.89,40.3868,61.449,,778.6037,
61,002932,明德生物,43.43,37.26,71.2253,21.5397,3.2119999999999997,57.8025,8.6196
62,002841,视源股份,43.3,5.24,19.1365,225.8822,0.6222,4309.1013,11.8708
63,600228,ST昌九,43.23,4.82,8.3445,34.9884,0.1449,725.8199,3.0077
64,603160,汇顶科技,42.98,44.93,65.5316,383.5755,0.9589,853.6936,2.1342
65,603121,华培动力,42.88,30.43,51.2056,87.97,,289.029,
66,603103,横店影视,42.78,10.03,22.8938,118.5239,0.2963,1181.4905,2.9537
67,002833,弘亚数控,42.66,26.04,39.5312,108.28299999999999,1.0828,415.7571,4.1575
68,603816,顾家家居,42.62,13.09,40.7488,424.3705,1.2859,3239.7139,9.8173
69,300752,隆利科技,42.59,3.96,14.2302,11.2565,,283.8434,
70,300519,新光药业,42.43,36.16,63.3719,105.6515,1.7608,292.1094,4.8684
71,002968,新大正,42.42,8.15,18.8708,31.4139,,385.3355,
72,603533,掌阅科技,42.02,13.69,50.242,57.4557,0.1595,419.6165,1.1656
73,603595,东尼电子,41.91,20.49,38.1716,42.6608,0.5688,208.2023,2.7760000000000002
74,002792,通宇通讯,41.78,23.6,43.5603,354.1198,2.9509,1500.1327,12.5011
75,688218,江苏北人,41.67,10.09,26.2132,8.6434,0.1329,85.5974,1.3168
76,603658,安图生物,41.56,36.96,73.0684,208.2211,0.5508,563.2956,1.4901
77,300679,电连技术,41.34,30.0,51.6857,207.34099999999998,2.3037,691.086,7.6787
78,000017,深中华A,41.04,2.3,6.18,4.8857,0.0088,212.0706,0.3846
79,300753,爱朋医疗,40.51,26.07,71.8508,31.3838,,120.3511,
80,300508,维宏股份,40.13,43.73,73.3163,61.4602,1.3657,140.5228,3.1227
81,603669,灵康药业,40.05,25.99,60.8895,149.8582,0.7685,576.4021,2.9559
82,300811,铂科新材,39.98,21.85,45.7088,31.8084,,145.5348,
83,600766,园城黄金,39.96,29.65,53.9621,13.9326,0.0621,46.9807,0.2095
84,600421,*ST仰帆,39.76,4.91,33.3654,2.1697,0.011000000000000001,44.113,0.2255
85,300533,冰川网络,39.46,43.77,91.325,157.6051,2.1014,360.0085,4.8001
86,300625,三雄极光,39.22,8.99,31.791,170.7645,0.8131,1899.3132,9.0443
87,300643,万通智控,39.12,12.9,27.0196,39.0366,0.2602,302.4656,2.0164
88,603895,天永智能,39.09,19.85,34.1297,47.3718,0.8181,238.5612,4.1202
89,603773,沃格光电,39.05,29.02,51.3384,74.6995,1.3105,257.3836,4.5155
90,002947,恒铭达,39.04,26.36,42.7074,81.086,,307.5131,
91,688368,晶丰明源,38.67,19.83,34.5966,66.8894,,337.2701,
92,603393,新天然气,38.3,21.42,28.3675,216.9664,1.808,1012.6343,8.4386
93,300604,长川科技,37.97,30.99,62.3955,24.2622,0.4245,78.2776,1.3698
94,603786,科博达,37.88,24.62,42.7831,331.5917,,1346.3765,
95,300494,盛天网络,37.74,45.58,81.1984,105.6203,1.1735,231.7052,2.5745
96,300807,天迈科技,37.44,19.42,47.2379,30.9119,0.7395,159.1451,3.8073
97,603898,好莱客,37.35,15.83,37.3374,142.6474,1.9407,901.0779,12.2595
98,603676,卫信康,37.29,27.31,67.9694,106.7359,0.2964,390.7946,1.0855
99,000034,神州数码,37.11,12.07,12.4846,61.4712,0.1717,509.0557,1.422
100,603963,大理药业,36.99,29.54,48.9634,100.07,1.3342,338.6864,4.5158
101,603277,银都股份,36.92,16.78,35.7282,120.93299999999999,1.6124,720.5269,9.607000000000001
102,300799,左江科技,36.49,28.05,64.2725,7.0889,,25.2668,
103,688208,道通科技,36.47,30.48,62.6888,113.4398,,372.11800000000005,
104,603068,博通集成,36.26,18.0,43.3676,66.1009,,367.0352,
105,002960,青鸟消防,36.18,18.79,40.8112,150.489,,800.7133,
106,600340,华夏幸福,36.12,13.15,35.7677,3537.5375,2.6741,26885.5485,20.3235
107,603590,康辰药业,36.04,32.3,93.46600000000001,175.8968,,544.4884,
108,002870,香山股份,36.01,9.0,31.5486,74.5995,0.8987,828.5577,9.9826
109,002180,纳思达,35.89,42.18,61.0909,202.2776,0.4784,479.5272,1.1343
110,000626,远大控股,35.85,0.5,0.4622,232.5925,1.1486,45638.5318,225.3754
111,601163,三角轮胎,35.81,11.05,23.1678,1013.1267,1.6885,9164.8005,15.2746
112,002913,奥士康,35.69,14.67,27.6547,131.6583,1.2186,896.9628,8.3022
113,300660,江苏雷利,35.43,10.26,26.9071,149.8424,1.9765,1460.1344,19.2604
114,300529,健帆生物,35.37,43.14,84.7198,160.0482,0.4325,370.9375,1.0025
115,300613,富瀚微,35.27,21.6,51.5683,37.8062,1.1341,174.9793,5.2493
116,002354,天神娱乐,35.0,48.73,82.3201,231.7425,1.0395,475.5412,2.1331
117,603569,长久物流,34.65,8.7,15.7263,264.9495,0.7359,3042.9005,8.4525
118,300658,延江股份,34.64,11.44,33.5151,42.3015,0.564,369.55,4.9273
119,300652,雷迪克,34.61,15.12,31.8239,55.1945,0.8362,365.0325,5.5307
120,002875,安奈儿,34.4,9.96,58.9526,78.9689,1.0529,792.5818,10.5677
121,603848,好太太,34.34,18.81,37.469,111.7882,0.3105,594.2143,1.6505
122,603228,景旺电子,34.34,14.55,31.4567,325.561,0.9043,2237.3932,6.2149
123,300432,富临精工,34.32,19.55,34.7236,136.7765,1.5197,699.5716,7.773
124,300670,大烨智能,34.24,14.84,32.85,37.9855,0.4689,255.8395,3.1585
125,002831,裕同科技,34.07,15.33,33.5322,562.0324,3.7468,3665.4393,24.4362
126,300559,佳发教育,34.0,40.17,57.2811,72.0372,1.3389,179.299,3.3326
127,300640,德艺文创,33.9,8.68,25.5481,29.2387,0.4873,336.4858,5.608
128,002908,德生科技,33.84,16.28,47.138999999999996,78.6128,0.7861,482.7313,4.8273
129,600382,广东明珠,33.82,623.93,60.8899,843.9177,2.4694,135.2568,0.3957
130,000603,盛达资源,33.75,31.87,80.3523,236.2388,0.4678,741.2162,1.4677
131,000848,承德露露,33.74,16.39,41.5377,443.1899,0.8831,2702.7916,5.3859
132,600398,海澜之家,33.72,19.24,39.8862,2374.7721,0.5285,12338.4411,2.7462
133,300743,天地数码,33.63,9.92,34.4995,27.6378,,278.5138,
134,300595,欧普康视,33.44,49.09,77.1375,63.771,1.2504,129.8806,2.5466
135,000963,华东医药,33.37,3.99,21.9804,756.6694,1.7432,18947.3791,43.6515
136,300761,立华股份,33.31,8.63,15.5259,351.6444,,4073.6658,
137,300439,美康生物,33.27,23.02,56.1063,137.6844,1.6198,597.8492,7.0335
138,603583,捷昌驱动,33.24,18.78,38.6845,40.9307,0.9983,217.9296,5.3153
139,300636,同和药业,33.22,18.44,38.9448,39.2084,0.6534,212.5742,3.5429
140,300496,中科创达,33.12,24.91,54.1354,112.6575,1.5019999999999998,452.2096,6.0294
141,603970,中农立华,32.97,2.8,12.4437,80.7189,0.8071,2875.1079999999997,28.750999999999998
142,300738,奥飞数据,32.96,5.64,20.4673,3.9967,0.3996,70.7577,7.0757
143,002931,锋龙股份,32.89,10.73,34.4857,23.5499,,219.3283,
144,002951,金时科技,32.84,26.87,43.8094,201.8734,,751.2766,
145,300561,汇金科技,32.76,43.09,77.9762,60.9267,1.4506,141.3779,3.3661
146,603706,东方环宇,32.76,23.96,44.2439,79.4403,,331.4684,
147,600381,青海春天,32.68,265.38,7.6228,79.3566,0.3989,29.9025,0.1503
148,688168,安博通,32.65,9.37,75.8028,4.4169,0.5521,47.1207,5.89
149,002905,金逸影视,32.57,7.26,24.1165,137.5069,1.0913,1893.2910000000002,15.0261
150,002952,亚世光电,32.56,11.35,19.4292,35.3582,0.6291,311.323,5.5395
151,002880,卫光生物,32.55,22.2,44.3368,100.5415,1.2412,452.7733,5.5897
152,002883,中设股份,32.51,18.36,48.3891,29.2699,0.7317,159.4162,3.9854
153,603098,森特股份,32.5,18.69,33.0724,257.6673,0.7634,1378.4949,4.0844
154,300661,圣邦股份,32.48,18.37,40.3706,59.9007,1.3311,325.9147,7.2425
155,002861,瀛通通讯,32.46,22.19,34.0082,137.6578,1.4959,620.2055,6.74
156,603169,兰石重装,32.42,29.9,25.6051,432.8026,0.7321,1447.3614,2.4483
157,600876,洛阳玻璃,32.39,2.61,5.9243,16.0047,0.032,612.5412,1.225
158,300707,威唐工业,32.38,19.15,46.9377,31.2501,0.5301,163.14,2.7674
159,603133,碳元科技,32.29,44.18,56.6593,149.0129,0.9552,337.2519,2.1618
160,002981,朝阳科技,32.29,8.61,22.2099,30.8352,,357.9219,
161,300418,昆仑万维,32.25,16.87,69.0745,326.3823,1.5542,1934.1458,9.2102
162,300693,盛弘股份,32.24,19.93,67.7179,31.2333,0.4564,156.6548,2.2894
